date,lat,lon,log_CI_cells_mL,bloom
2019-11-04,44.67810570958355,-122.19169226682271,8.749823353377373,0
2019-11-04,44.67810570958355,-122.19513425235763,8.749823353377373,0
2019-11-04,44.68498968065339,-122.19857623789257,5.793304093973019,0
2019-11-04,44.69187365172321,-122.20890219449734,8.749823353377373,0
2019-11-04,44.69187365172321,-122.21234418003226,8.749823353377373,0
2019-11-04,44.69187365172321,-122.21578616556718,8.749823353377373,0
2019-11-04,44.69187365172322,-122.2054602089624,5.76567307285709,0
2019-11-04,44.69187365172322,-122.20890219449733,5.76567307285709,0
2019-11-04,44.69187365172322,-122.21234418003225,12.203700992868441,1
2019-11-04,44.69187365172322,-122.21578616556717,8.749823353377373,0
2019-11-04,44.69531563725813,-122.19857623789258,8.749823353377373,0
2019-11-04,44.69531563725813,-122.2020182234275,8.749823353377373,0
2019-11-04,44.69531563725813,-122.20546020896242,8.749823353377373,0
2019-11-04,44.69531563725813,-122.20890219449734,8.749823353377373,0
2019-11-04,44.69531563725814,-122.19857623789257,5.4064697983500185,0
2019-11-04,44.69531563725814,-122.20201822342749,11.153722190463156,1
2019-11-04,44.69531563725814,-122.2054602089624,11.153722190463156,1
2019-11-04,44.69531563725814,-122.20890219449733,11.043198105999442,1
2019-11-04,44.69531563725814,-122.21234418003225,8.749823353377373,0
2019-11-04,44.69531563725814,-122.21578616556717,8.749823353377373,0
2019-11-04,44.69531563725814,-122.21922815110209,8.749823353377373,0
2019-11-04,44.69531563725814,-122.222670136637,8.749823353377373,0
2019-11-04,44.69531563725814,-122.22611212217193,8.749823353377373,0
2019-11-04,44.69875762279305,-122.19169226682276,8.749823353377373,0
2019-11-04,44.69875762279305,-122.19513425235766,8.749823353377373,0
2019-11-04,44.69875762279305,-122.19857623789258,8.749823353377373,0
2019-11-04,44.69875762279305,-122.2020182234275,8.749823353377373,0
2019-11-04,44.69875762279305,-122.20546020896242,8.749823353377373,0
2019-11-04,44.69875762279306,-122.19169226682271,11.043198105999442,1
2019-11-04,44.69875762279306,-122.19513425235763,11.236615253810943,1
2019-11-04,44.69875762279306,-122.19857623789257,11.181353211579086,1
2019-11-04,44.69875762279306,-122.20201822342749,8.749823353377373,0
2019-11-04,44.69875762279306,-122.2054602089624,8.749823353377373,0
2019-11-04,44.69875762279306,-122.22611212217193,8.749823353377373,0
2019-11-04,44.69875762279306,-122.22955410770685,8.749823353377373,0
2019-11-04,44.69875762279306,-122.23299609324177,8.749823353377373,0
2019-11-04,44.69875762279306,-122.23643807877669,8.749823353377373,0
2019-11-04,44.69875762279306,-122.24332204984653,8.749823353377373,0
2019-11-04,44.69875762279306,-122.24676403538145,8.749823353377373,0
2019-11-04,44.70219960832797,-122.18825028128784,8.749823353377373,0
2019-11-04,44.70219960832797,-122.19169226682276,8.749823353377373,0
2019-11-04,44.70219960832797,-122.19513425235766,8.749823353377373,0
2019-11-04,44.70219960832797,-122.19857623789258,8.749823353377373,0
2019-11-04,44.70219960832797,-122.23643807877669,8.749823353377373,0
2019-11-04,44.70219960832797,-122.2398800643116,8.749823353377373,0
2019-11-04,44.70219960832798,-122.18825028128782,8.749823353377373,0
2019-11-04,44.70219960832798,-122.19169226682271,8.749823353377373,0
2019-11-04,44.70219960832798,-122.19513425235763,8.749823353377373,0
2019-11-04,44.70219960832798,-122.19857623789257,8.749823353377373,0
2019-11-04,44.70219960832798,-122.23299609324177,8.749823353377373,0
2019-11-04,44.70219960832798,-122.23643807877669,8.749823353377373,0
2019-11-04,44.70219960832798,-122.2398800643116,8.749823353377373,0
2019-11-04,44.705641593862886,-122.181366310218,8.749823353377373,0
2019-11-04,44.705641593862886,-122.18480829575292,8.749823353377373,0
2019-11-04,44.705641593862886,-122.18825028128784,8.749823353377373,0
2019-11-04,44.705641593862886,-122.19169226682276,8.749823353377373,0
2019-11-04,44.705641593862886,-122.19513425235766,8.749823353377373,0
2019-11-04,44.705641593862886,-122.23643807877669,8.749823353377373,0
2019-11-04,44.705641593862886,-122.2398800643116,8.749823353377373,0
2019-11-04,44.7056415938629,-122.18136631021798,10.794518915956086,1
2019-11-04,44.7056415938629,-122.1848082957529,10.960305042651656,1
2019-11-04,44.7056415938629,-122.18825028128782,11.595818528318013,1
2019-11-04,44.7056415938629,-122.19169226682271,11.153722190463156,1
2019-11-04,44.7056415938629,-122.19513425235763,8.749823353377373,0
2019-11-04,44.7056415938629,-122.23643807877669,8.749823353377373,0
2019-11-04,44.7056415938629,-122.2398800643116,8.749823353377373,0
2019-11-04,44.709083579397806,-122.181366310218,8.749823353377373,0
2019-11-04,44.709083579397806,-122.18480829575292,8.749823353377373,0
2019-11-04,44.709083579397806,-122.18825028128784,8.749823353377373,0
2019-11-04,44.709083579397806,-122.2398800643116,8.749823353377373,0
2019-11-04,44.70908357939781,-122.17448233914814,8.749823353377373,0
2019-11-04,44.70908357939781,-122.17792432468306,8.749823353377373,0
2019-11-04,44.70908357939781,-122.18136631021798,8.749823353377373,0
2019-11-04,44.70908357939781,-122.1848082957529,11.319508317158729,1
2019-11-04,44.70908357939781,-122.18825028128782,11.26424627492687,1
2019-11-04,44.70908357939781,-122.19169226682271,8.749823353377373,0
2019-11-04,44.70908357939781,-122.23643807877669,8.749823353377373,0
2019-11-04,44.70908357939781,-122.2398800643116,8.749823353377373,0
2019-11-04,44.712525564932726,-122.17792432468308,8.749823353377373,0
2019-11-04,44.712525564932726,-122.181366310218,8.749823353377373,0
2019-11-04,44.712525564932726,-122.18480829575292,8.749823353377373,0
