date,lat,lon,site,Algae
2018-06-04 10:40:00,44.71760227,-122.2448237,Log Bloom,1958111.3624283853
2018-06-04 10:40:00,44.71760227,-122.2448237,Log Bloom,1958111.3624283853
2018-06-04 10:50:00,44.71760227,-122.2448237,Log Bloom,191461.3317163012
2018-06-04 11:00:00,44.69537557,-122.2412653,Heater,3587539.746163434
2018-06-04 11:30:00,44.67544396,-122.1887626,Blowout,3214435.612562437
2018-06-06 10:00:00,44.71760227,-122.2448237,Log Bloom,2477794.1180168786
2018-06-06 10:30:00,44.69537557,-122.2412653,Heater,36141253.03861319
2018-06-06 10:55:00,44.67544396,-122.1887626,Blowout,195615.32510659567
2018-06-07 10:00:00,44.67544396,-122.1887626,Blowout,758825.7444516588
2018-06-07 11:10:00,44.71760227,-122.2448237,Log Bloom,604217.2204064731
2018-06-07 11:55:00,44.69537557,-122.2412653,Heater,2923656.075241822
2018-06-08 10:20:00,44.71760227,-122.2448237,Log Bloom,2251716.17471479
2018-06-08 10:25:00,44.71760227,-122.2448237,Log Bloom,4499.526986275955
2018-06-08 10:40:00,44.69537557,-122.2412653,Heater,1504500.8788121182
2018-06-08 11:00:00,44.67544396,-122.1887626,Blowout,1411913.475332185
2018-06-09 09:00:00,44.71760227,-122.2448237,Log Bloom,1903284.2442803904
2018-06-09 09:20:00,44.69537557,-122.2412653,Heater,1163809.2474103768
2018-06-09 09:40:00,44.67544396,-122.1887626,Blowout,1676258.5092600172
2018-06-12 10:25:00,44.71760227,-122.2448237,Log Bloom,4342307.757321187
2018-06-12 10:35:00,44.71760227,-122.2448237,Log Bloom,4756.993108106461
2018-06-12 10:55:00,44.69537557,-122.2412653,Heater,3305068.195623408
2018-06-12 11:30:00,44.67544396,-122.1887626,Blowout,1956153.251065957
2018-06-15 10:50:00,44.71760227,-122.2448237,Log Bloom,1082052.3388779254
2018-06-15 10:55:00,44.71760227,-122.2448237,Log Bloom,208.42495576755115
2018-06-15 11:10:00,44.69537557,-122.2412653,Heater,2080395.417012038
2018-06-17 14:25:00,44.71760227,-122.2448237,Log Bloom,755674.3369883624
2018-06-17 14:55:00,44.69537557,-122.2412653,Heater,5814302.381987217
2018-06-17 15:20:00,44.67544396,-122.1887626,Blowout,370860.4143385672
2018-06-18 10:30:00,44.71760227,-122.2448237,Log Bloom,2900242.6579510714
2018-06-18 10:35:00,44.71760227,-122.2448237,Log Bloom,122.60291515738298
2018-06-18 10:50:00,44.69537557,-122.2412653,Heater,3592272.781056618
2018-06-18 11:05:00,44.67544396,-122.1887626,Blowout,2337515.020012509
2018-06-19 11:45:00,44.71760227,-122.2448237,Log Bloom,504722.7847795406
2018-06-19 12:15:00,44.69537557,-122.2412653,Heater,162551.134928147
2018-06-19 12:45:00,44.67544396,-122.1887626,Blowout,2231072.086350902
2018-06-21 10:20:00,44.71760227,-122.2448237,Log Bloom,2650499.540183062
2018-06-21 10:30:00,44.71760227,-122.2448237,Log Bloom,1422.1938158256428
2018-06-21 11:00:00,44.69537557,-122.2412653,Heater,127750.41467762098
2018-06-21 11:30:00,44.67544396,-122.1887626,Blowout,115296.61694267394
2018-06-23 09:40:00,44.69537557,-122.2412653,Heater,1486374.362199924
2018-06-23 10:00:00,44.67544396,-122.1887626,Blowout,1485619.090674416
2018-06-24 12:20:00,44.69537557,-122.2412653,Heater,17121099.157437824
2018-06-24 12:35:00,44.67544396,-122.1887626,Blowout,2150006.275946367
2018-06-25 10:40:00,44.71760227,-122.2448237,Log Bloom,2816860.681534978
2018-06-25 10:50:00,44.71760227,-122.2448237,Log Bloom,4699.467269828125
2018-06-25 11:10:00,44.69537557,-122.2412653,Heater,1203786.6160405888
2018-06-25 11:30:00,44.67544396,-122.1887626,Blowout,1050330.934806586
2018-06-27 11:00:00,44.71760227,-122.2448237,Log Bloom,1824433.8970173455
2018-06-27 11:05:00,44.71760227,-122.2448237,Log Bloom,9022.97715807
2018-06-27 11:18:00,44.69537557,-122.2412653,Heater,512442.4528609834
2018-06-27 11:40:00,44.67544396,-122.1887626,Blowout,510248.0902903152
2018-06-28 10:10:00,44.71760227,-122.2448237,Log Bloom,3230606.2760159634
2018-06-28 10:30:00,44.69537557,-122.2412653,Heater,934662.6761831372
2018-06-28 10:50:00,44.67544396,-122.1887626,Blowout,269217.189667997
2018-06-29 10:15:00,44.71760227,-122.2448237,Log Bloom,2058366.6641847184
2018-06-29 10:20:00,44.71760227,-122.2448237,Log Bloom,5124.80185357861
2018-06-29 10:35:00,44.69537557,-122.2412653,Heater,774147.9011161414
2018-06-29 10:55:00,44.67544396,-122.1887626,Blowout,163453.29372699818
2018-07-02 09:50:00,44.71760227,-122.2448237,Log Bloom,3580994.059609032
2018-07-02 09:55:00,44.71760227,-122.2448237,Log Bloom,72183.81726456
2018-07-02 10:00:00,44.69537557,-122.2412653,Heater,318351.289006821
2018-07-02 10:15:00,44.67544396,-122.1887626,Blowout,2458408.815528837
2018-07-03 10:05:00,44.71760227,-122.2448237,Log Bloom,4094175.885474262
2018-07-03 10:10:00,44.71760227,-122.2448237,Log Bloom,4462.746111728741
2018-07-03 10:25:00,44.69537557,-122.2412653,Heater,1020060.8368038692
2018-07-03 10:40:00,44.67544396,-122.1887626,Blowout,54730.96713030709
2018-07-05 09:40:00,44.71760227,-122.2448237,Log Bloom,6446488.928925775
2018-07-05 09:45:00,44.71760227,-122.2448237,Log Bloom,49626.37436938499
2018-07-05 09:55:00,44.69537557,-122.2412653,Heater,4513147.214541997
2018-07-05 10:05:00,44.67544396,-122.1887626,Blowout,2376990.545079065
2018-07-06 09:50:00,44.71760227,-122.2448237,Log Bloom,3090369.6766389757
2018-07-06 09:55:00,44.71760227,-122.2448237,Log Bloom,4475.006403244479
2018-07-09 10:15:00,44.71760227,-122.2448237,Log Bloom,4077257.803302881
2018-07-09 10:20:00,44.71760227,-122.2448237,Log Bloom,1005.3439042905404
2018-07-09 10:30:00,44.69537557,-122.2412653,Heater,82662.03302669592
2018-07-09 10:50:00,44.67544396,-122.1887626,Blowout,711969.291378961
2018-07-13 10:30:00,44.71760227,-122.2448237,Log Bloom,699280.7297504249
2018-07-13 10:35:00,44.71760227,-122.2448237,Log Bloom,93613.38801497626
2018-07-13 11:00:00,44.69537557,-122.2412653,Heater,2343651.971388402
2018-07-13 11:20:00,44.67544396,-122.1887626,Blowout,2036212.0327698144
2018-07-16 09:50:00,44.71760227,-122.2448237,Log Bloom,4347632.068345291
2018-07-16 09:55:00,44.71760227,-122.2448237,Log Bloom,39563.96072128749
2018-07-16 10:15:00,44.69537557,-122.2412653,Heater,1159386.2193917148
2018-07-16 10:35:00,44.67544396,-122.1887626,Blowout,514591.66604617966
2018-07-18 10:05:00,44.71760227,-122.2448237,Log Bloom,1499130.059075172
2018-07-18 10:10:00,44.71760227,-122.2448237,Log Bloom,42859.1415008325
2018-07-18 10:30:00,44.69537557,-122.2412653,Heater,1776398.627995031
2018-07-18 10:45:00,44.67544396,-122.1887626,Blowout,289017.2370944297
2018-07-24 09:55:00,44.71760227,-122.2448237,Log Bloom,541378.6294842
2018-07-24 10:00:00,44.71760227,-122.2448237,Log Bloom,344996.18545561755
2018-07-24 10:45:00,44.69537557,-122.2412653,Heater,338361.6434276249
2018-07-24 11:40:00,44.67544396,-122.1887626,Blowout,357159.51250693743
2018-07-26 09:55:00,44.71760227,-122.2448237,Log Bloom,108968.86248466546
2018-07-26 10:25:00,44.69537557,-122.2412653,Heater,1179791.4514120084
2018-07-26 10:45:00,44.67544396,-122.1887626,Blowout,254425.0363895356
2018-07-31 10:45:00,44.71760227,-122.2448237,Log Bloom,118731.68364844997
2018-07-31 11:15:00,44.69537557,-122.2412653,Heater,119421.75650386764
2018-07-31 11:40:00,44.67544396,-122.1887626,Blowout,448329.17754160304
2018-08-02 09:40:00,44.67544396,-122.1887626,Blowout,321913.50798322656
2018-08-02 10:20:00,44.69537557,-122.2412653,Heater,68418.71466367417
2018-08-02 10:30:00,44.69537557,-122.2412653,Heater,965325.86507293
2018-08-02 11:00:00,44.71760227,-122.2448237,Log Bloom,84590.41085690625
2018-08-07 10:05:00,44.71760227,-122.2448237,Log Bloom,84590.41085690625
2018-08-07 10:30:00,44.69537557,-122.2412653,Heater,316325.4859775065
2018-08-07 10:50:00,44.67544396,-122.1887626,Blowout,350445.9878357544
2018-08-09 10:00:00,44.71760227,-122.2448237,Log Bloom,84590.41085690624
2018-08-09 10:25:00,44.69537557,-122.2412653,Heater,238.5734247153908
2018-08-21 10:55:00,44.69537557,-122.2412653,Heater,123.37895454545456
2018-08-29 11:05:00,44.69537557,-122.2412653,Heater,94.86363764709724
2018-08-29 11:30:00,44.67544396,-122.1887626,Blowout,188.495625
