date,lat,lon,site,Nitrates
2017-09-12 12:25:00,44.67544396,-122.1887626,Blowout,0.004
2018-04-24 10:40:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-04-24 10:40:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-04-24 11:30:00,44.69537557,-122.2412653,Heater,0.006
2018-04-24 11:30:00,44.69537557,-122.2412653,Heater,0.006
2018-05-08 10:40:00,44.71760227,-122.2448237,Log Bloom,0.005
2018-05-08 11:20:00,44.69537557,-122.2412653,Heater,0.005
2018-05-08 11:50:00,44.67544396,-122.1887626,Blowout,0.014
2018-05-14 10:35:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-05-14 11:00:00,44.69537557,-122.2412653,Heater,0.007
2018-05-14 11:30:00,44.67544396,-122.1887626,Blowout,0.008
2018-05-21 10:10:00,44.71760227,-122.2448237,Log Bloom,0.01
2018-05-21 10:40:00,44.69537557,-122.2412653,Heater,0.01
2018-05-21 11:00:00,44.67544396,-122.1887626,Blowout,0.033
2018-06-27 11:00:00,44.71760227,-122.2448237,Log Bloom,0.0
2018-06-27 11:18:00,44.69537557,-122.2412653,Heater,0.004
2018-06-27 11:40:00,44.67544396,-122.1887626,Blowout,0.001
2018-07-11 09:55:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-11 10:25:00,44.69537557,-122.2412653,Heater,0.003
2018-07-11 10:40:00,44.67544396,-122.1887626,Blowout,0.002
2018-07-18 10:05:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-18 10:30:00,44.69537557,-122.2412653,Heater,0.003
2018-07-18 10:45:00,44.67544396,-122.1887626,Blowout,0.005
2018-07-24 09:55:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-24 10:45:00,44.69537557,-122.2412653,Heater,0.004
2018-07-24 11:40:00,44.67544396,-122.1887626,Blowout,0.002
2018-07-31 10:45:00,44.71760227,-122.2448237,Log Bloom,0.003
2018-07-31 11:15:00,44.69537557,-122.2412653,Heater,0.003
2018-07-31 11:40:00,44.67544396,-122.1887626,Blowout,0.003
2018-08-07 10:05:00,44.71760227,-122.2448237,Log Bloom,0.001
2018-08-07 10:30:00,44.69537557,-122.2412653,Heater,0.002
2018-08-07 10:50:00,44.67544396,-122.1887626,Blowout,0.001
2018-08-14 11:00:00,44.71760227,-122.2448237,Log Bloom,0.007
2018-08-14 11:30:00,44.69537557,-122.2412653,Heater,0.008
2018-08-14 12:00:00,44.67544396,-122.1887626,Blowout,0.009
2018-08-21 10:55:00,44.69537557,-122.2412653,Heater,0.004
2018-08-21 11:20:00,44.67544396,-122.1887626,Blowout,0.004
2018-08-29 11:05:00,44.69537557,-122.2412653,Heater,0.002
2018-08-29 11:30:00,44.67544396,-122.1887626,Blowout,0.002
2018-09-11 11:45:00,44.69537557,-122.2412653,Heater,0.005
2018-09-11 12:05:00,44.67544396,-122.1887626,Blowout,0.003
2018-09-26 11:45:00,44.69537557,-122.2412653,Heater,0.008
2018-09-26 12:05:00,44.67544396,-122.1887626,Blowout,0.006
2018-10-02 10:50:00,44.69537557,-122.2412653,Heater,0.003
2018-10-02 11:05:00,44.67544396,-122.1887626,Blowout,0.001
2019-03-05 11:35:00,44.69537557,-122.2412653,Heater,0.018
2019-03-05 12:00:00,44.67544396,-122.1887626,Blowout,0.011
2019-04-09 11:05:00,44.71760227,-122.2448237,Log Bloom,0.004
2019-04-09 11:45:00,44.69537557,-122.2412653,Heater,0.005
2019-04-09 12:15:00,44.67544396,-122.1887626,Blowout,0.018
