t,Blowout,Heater,Log Boom
8/2/2018 9:40,321913.508,,
8/2/2018 10:20,,68418.71466,
8/2/2018 10:30,,965325.8651,
8/2/2018 11:00,,,84590.41086
8/7/2018 10:05,,,84590.41086
8/7/2018 10:30,,316325.486,
8/7/2018 10:50,350445.9878,,
8/9/2018 10:00,,,84590.41086
8/9/2018 10:25,,238.5734247,
8/21/2018 10:55,,123.3789545,
8/29/2018 11:05,,94.86363765,
8/29/2018 11:30,188.495625,,
9/26/2018 11:45,,1285.679489,
3/5/2019 12:00,24672.20317,,
4/17/2019 11:10,148.5221332,,
4/23/2019 11:05,,134.8632067,
5/7/2019 10:50,,28.76780057,
5/14/2019 10:25,,6130.145758,
5/14/2019 11:20,1395741.779,,
5/21/2019 9:55,,,4009.115326
5/21/2019 10:30,,17593.51833,
5/21/2019 11:30,23592.30382,,
5/28/2019 9:30,,,1912.605476
5/30/2019 9:45,,,135344.6574
5/30/2019 10:15,,37595.73816,
5/30/2019 10:55,105692.4702,,
6/3/2019 9:00,,,48495.58309
6/3/2019 9:35,,2753887.82,
6/3/2019 10:15,1261303.448,,
6/4/2019 9:30,,,63442.80814
6/4/2019 10:00,,4181183.165,
6/4/2019 10:40,66652.19909,,
6/5/2019 10:55,,,101735.899
6/5/2019 11:30,,2001973.057,
6/5/2019 11:50,4842369.438,,
6/6/2019 9:40,,,339627.8393
6/6/2019 10:10,,2163097.649,
6/6/2019 10:30,3353405.573,,
6/7/2019 9:15,,,78548.23865
6/7/2019 9:50,,2186818.77,
6/7/2019 10:10,4867305.387,,
6/10/2019 10:05,,,6952274.392
6/10/2019 10:45,,3700830.475,
6/10/2019 11:35,11927247.93,,
6/11/2019 9:40,,,5618213.121
6/11/2019 10:30,,11137894.78,
6/11/2019 10:55,10510358.55,,
6/12/2019 10:10,,,683582.8027
6/12/2019 11:05,,66957338.31,
6/12/2019 11:50,30560803.49,,
6/13/2019 9:40,,,886345.8244
6/13/2019 10:15,,16236659.42,
6/13/2019 10:45,5563821.92,,
6/14/2019 9:25,,,1456834.854
6/14/2019 10:10,,10573801.36,
6/14/2019 10:30,1225283.363,,
6/17/2019 10:50,,,1827152.875
6/17/2019 11:20,,23459740.61,
6/17/2019 11:50,4123782.529,,
6/18/2019 9:55,,,2503489.764
6/18/2019 10:30,,7238293.671,
6/18/2019 11:10,595384.1695,,
6/19/2019 9:30,,,3769040.655
6/19/2019 10:05,,13076267.68,
6/19/2019 10:30,5568868.715,,
6/20/2019 9:50,,,6650552.114
6/20/2019 10:20,,10701358.33,
6/20/2019 10:45,2662161.105,,
6/21/2019 10:20,,,7397260.011
6/21/2019 10:58,,1970494.116,
6/21/2019 11:15,2948463.84,,
6/24/2019 10:00,,,4642270.771
6/24/2019 10:40,,16591592.87,
6/24/2019 11:10,1445229.931,,
6/25/2019 9:15,,,2733589.926
6/25/2019 9:40,,,1460926.847
6/25/2019 11:20,,3423268.189,
6/25/2019 11:55,1966727.052,,
6/26/2019 9:40,,1748761.232,
6/26/2019 10:10,851778.4427,,
7/2/2019 9:45,,,5705153.266
7/2/2019 10:00,,964705.6486,
7/2/2019 10:25,82056.08599,,
7/3/2019 9:05,,,2512693.77
7/3/2019 9:35,,5700092.301,
7/3/2019 10:00,387706.0498,,
7/5/2019 9:45,,,2300583.257
7/5/2019 10:20,,2058366.664,
7/5/2019 10:55,885885.6241,,
7/8/2019 9:50,,,2559634.203
7/8/2019 10:25,,5697869.596,
7/8/2019 10:50,206189.1265,,
7/9/2019 9:40,,,4383595.934
7/9/2019 10:10,,3784539.736,
7/9/2019 10:30,995699.6278,,
7/10/2019 9:20,832686.8569,,
7/10/2019 10:10,,,1717255.21
7/10/2019 11:00,,692117.0666,
7/11/2019 9:50,,,5928194.865
7/11/2019 10:35,,1948019.558,
7/11/2019 11:00,599182.0769,,
7/12/2019 9:15,,,3238889.882
7/12/2019 9:50,,2542518.599,
7/12/2019 10:20,6919.402024,,
7/16/2019 10:05,,,862822.1907
7/16/2019 10:40,,2960664.38,
7/16/2019 11:10,1705906.619,,
7/18/2019 10:05,,,1094388.44
7/18/2019 10:25,,3605666.263,
7/18/2019 10:50,507542.4651,,
7/23/2019 10:05,,,449041.3836
7/23/2019 10:45,,2981000.272,
7/23/2019 11:10,1929718.748,,
7/25/2019 10:00,,,1119413.104
7/25/2019 10:45,,5121685.032,
7/25/2019 11:15,14758.32591,,
7/30/2019 10:20,,,253685.4287
7/30/2019 10:50,,159286.7647,
7/30/2019 11:11,12758.36586,,
8/1/2019 9:45,,,91119.6642
8/1/2019 10:20,,629899.1938,
8/1/2019 11:00,17169.46363,,
8/6/2019 10:15,,,300280.7116
8/6/2019 10:40,,271009.9731,
8/6/2019 11:05,86287.56079,,
8/8/2019 9:30,,,169180.8217
8/8/2019 10:00,,30045.3769,
8/8/2019 10:25,1561804.85,,
8/13/2019 9:55,,,106271.8415
8/13/2019 10:50,,21147.60271,
8/13/2019 11:20,57722.98499,,
8/15/2019 9:20,,,190328.4244
8/15/2019 9:45,,333120.3742,
8/15/2019 10:10,27585.65591,,
8/20/2019 10:25,,,1025658.732
8/20/2019 10:55,,3104165.97,
8/20/2019 11:20,93989.3454,,
8/22/2019 9:40,,,956.3027382
8/22/2019 10:00,,535298.6937,
8/22/2019 10:20,2522606.895,,
8/27/2019 10:25,,467009.5599,
8/27/2019 10:50,6206.77258,,
8/29/2019 9:05,,20482.34951,
8/29/2019 9:25,206.8924193,,
9/3/2019 11:20,,344.8206989,
9/3/2019 11:45,1488.476017,,
9/10/2019 11:35,,138272.787,
9/24/2019 10:20,,44409.9657,
9/24/2019 10:35,36816.99862,,
10/1/2019 12:10,,701.1354211,
10/1/2019 12:40,42144.15112,,
10/15/2019 10:25,,71.54443072,
10/15/2019 10:45,1247.922529,,
10/30/2019 11:35,,861.6392829,
10/30/2019 12:00,1172.390376,,
