date,lat,lon,site,Toxin
2018-05-16 11:00:00,44.67544396,-122.1887626,Blowout,1.796
2018-05-17 09:42:00,44.71760227,-122.2448237,Log Bloom,0.0
2018-05-17 09:50:00,44.69537557,-122.2412653,Heater,0.091
2018-05-17 10:10:00,44.67544396,-122.1887626,Blowout,3.949
2018-05-21 10:10:00,44.71760227,-122.2448237,Log Bloom,0.06
2018-05-21 10:40:00,44.69537557,-122.2412653,Heater,11.77
2018-05-21 11:00:00,44.67544396,-122.1887626,Blowout,48.21
2018-05-23 09:55:00,44.67544396,-122.1887626,Blowout,0.285
2018-05-23 10:20:00,44.69537557,-122.2412653,Heater,0.252
2018-05-23 10:45:00,44.71760227,-122.2448237,Log Bloom,0.081
2018-05-25 09:50:00,44.71760227,-122.2448237,Log Bloom,0.0
2018-05-25 10:10:00,44.69537557,-122.2412653,Heater,0.236
2018-05-25 10:45:00,44.67544396,-122.1887626,Blowout,50.0
2018-05-27 10:00:00,44.71760227,-122.2448237,Log Bloom,0.287
2018-05-27 10:10:00,44.69537557,-122.2412653,Heater,9.42
2018-05-27 10:35:00,44.67544396,-122.1887626,Blowout,0.757
2018-05-29 10:40:00,44.71760227,-122.2448237,Log Bloom,
2018-05-30 09:55:00,44.71760227,-122.2448237,Log Bloom,
2018-05-31 10:30:00,44.71760227,-122.2448237,Log Bloom,0.181
2018-06-01 10:40:00,44.71760227,-122.2448237,Log Bloom,0.18
2018-06-01 11:00:00,44.69537557,-122.2412653,Heater,
2018-06-01 11:20:00,44.67544396,-122.1887626,Blowout,
2018-06-02 10:20:00,44.71760227,-122.2448237,Log Bloom,0.845
2018-06-02 10:40:00,44.69537557,-122.2412653,Heater,4.275
2018-06-03 10:55:00,44.71760227,-122.2448237,Log Bloom,1.09
2018-06-03 11:10:00,44.69537557,-122.2412653,Heater,0.722
2018-06-03 11:30:00,44.67544396,-122.1887626,Blowout,0.685
2018-06-04 10:40:00,44.71760227,-122.2448237,Log Bloom,0.444
2018-06-04 11:00:00,44.69537557,-122.2412653,Heater,1.579
2018-06-04 11:30:00,44.67544396,-122.1887626,Blowout,1.69
2018-06-05 10:30:00,44.71760227,-122.2448237,Log Bloom,1.133
2018-06-05 10:55:00,44.69537557,-122.2412653,Heater,96.4
2018-06-05 11:40:00,44.67544396,-122.1887626,Blowout,0.803
2018-06-06 10:00:00,44.71760227,-122.2448237,Log Bloom,2.372
2018-06-06 10:30:00,44.69537557,-122.2412653,Heater,17.09
2018-06-06 10:55:00,44.67544396,-122.1887626,Blowout,2.029
2018-06-07 10:00:00,44.67544396,-122.1887626,Blowout,1.243
2018-06-07 11:10:00,44.71760227,-122.2448237,Log Bloom,1.317
2018-06-07 11:55:00,44.69537557,-122.2412653,Heater,2.821
2018-06-08 10:20:00,44.71760227,-122.2448237,Log Bloom,2.731
2018-06-08 10:40:00,44.69537557,-122.2412653,Heater,1.873
2018-06-08 11:00:00,44.67544396,-122.1887626,Blowout,1.547
2018-06-09 09:00:00,44.71760227,-122.2448237,Log Bloom,4.774
2018-06-09 09:20:00,44.69537557,-122.2412653,Heater,3.89
2018-06-09 09:40:00,44.67544396,-122.1887626,Blowout,1.546
2018-06-10 10:05:00,44.71760227,-122.2448237,Log Bloom,4.186
2018-06-10 10:30:00,44.69537557,-122.2412653,Heater,5.0
2018-06-10 10:55:00,44.67544396,-122.1887626,Blowout,5.0
2018-06-11 11:05:00,44.71760227,-122.2448237,Log Bloom,9.0
2018-06-11 11:30:00,44.69537557,-122.2412653,Heater,5.0
2018-06-11 11:50:00,44.67544396,-122.1887626,Blowout,5.0
2018-06-12 10:25:00,44.71760227,-122.2448237,Log Bloom,4.796
2018-06-12 10:55:00,44.69537557,-122.2412653,Heater,4.052
2018-06-12 11:30:00,44.67544396,-122.1887626,Blowout,2.572
2018-06-13 10:00:00,44.69537557,-122.2412653,Heater,3.755
2018-06-13 10:15:00,44.67544396,-122.1887626,Blowout,1.383
2018-06-14 10:25:00,44.67544396,-122.1887626,Blowout,2.507
2018-06-14 10:50:00,44.69537557,-122.2412653,Heater,4.425
2018-06-14 11:15:00,44.71760227,-122.2448237,Log Bloom,3.05
2018-06-15 10:50:00,44.71760227,-122.2448237,Log Bloom,3.771
2018-06-15 11:10:00,44.69537557,-122.2412653,Heater,3.627
2018-06-15 11:30:00,44.67544396,-122.1887626,Blowout,3.093
2018-06-16 09:15:00,44.71760227,-122.2448237,Log Bloom,2.95
2018-06-16 09:30:00,44.69537557,-122.2412653,Heater,4.26
2018-06-16 09:55:00,44.67544396,-122.1887626,Blowout,3.333
2018-06-17 14:25:00,44.71760227,-122.2448237,Log Bloom,3.137
2018-06-17 14:55:00,44.69537557,-122.2412653,Heater,32.86
2018-06-17 15:20:00,44.67544396,-122.1887626,Blowout,3.317
2018-06-18 10:30:00,44.71760227,-122.2448237,Log Bloom,4.513
2018-06-18 10:50:00,44.69537557,-122.2412653,Heater,11.425
2018-06-18 11:05:00,44.67544396,-122.1887626,Blowout,7.265
2018-06-19 11:45:00,44.71760227,-122.2448237,Log Bloom,4.497
2018-06-19 12:15:00,44.69537557,-122.2412653,Heater,5.0
2018-06-19 12:45:00,44.67544396,-122.1887626,Blowout,18.82
2018-06-20 09:50:00,44.71760227,-122.2448237,Log Bloom,3.177
2018-06-20 10:10:00,44.69537557,-122.2412653,Heater,4.169
2018-06-20 10:40:00,44.67544396,-122.1887626,Blowout,15.24
2018-06-21 10:30:00,44.71760227,-122.2448237,Log Bloom,7.72
2018-06-21 11:00:00,44.69537557,-122.2412653,Heater,1.753
2018-06-21 11:30:00,44.67544396,-122.1887626,Blowout,4.113
2018-06-23 09:40:00,44.69537557,-122.2412653,Heater,4.478
2018-06-23 10:00:00,44.67544396,-122.1887626,Blowout,3.513
2018-06-24 12:20:00,44.69537557,-122.2412653,Heater,9.24
2018-06-24 12:35:00,44.67544396,-122.1887626,Blowout,5.97
