date,lat,lon,Precip_mean,Air_Temp_mean,year,Air_Temp_cumsum,Precip_cumsum
2/29/2012,44.7095361,-122.1926893,27.51408813,-0.230699766,2012,167.4860585,760.1915046
3/1/2012,44.7095361,-122.1926893,11.20194292,0.646864909,2012,168.1329234,771.3934475
3/2/2012,44.7095361,-122.1926893,1.915620181,1.895462633,2012,170.0283861,773.3090677
3/3/2012,44.7095361,-122.1926893,1.969577504,4.241271976,2012,174.2696581,775.2786452
3/4/2012,44.7095361,-122.1926893,0,5.986380442,2012,180.2560385,775.2786452
3/5/2012,44.7095361,-122.1926893,18.53537938,1.198728122,2012,181.4547666,793.8140245
3/6/2012,44.7095361,-122.1926893,4.447148205,-0.884341753,2012,180.5704249,798.2611727
3/7/2012,44.7095361,-122.1926893,0,0.887834074,2012,181.4582589,798.2611727
3/8/2012,44.7095361,-122.1926893,0,7.432038672,2012,188.8902976,798.2611727
3/9/2012,44.7095361,-122.1926893,0,7.66932499,2012,196.5596226,798.2611727
3/10/2012,44.7095361,-122.1926893,8.285115851,4.166183718,2012,200.7258063,806.5462886
3/11/2012,44.7095361,-122.1926893,18.3777657,1.039797081,2012,201.7656034,824.9240543
3/12/2012,44.7095361,-122.1926893,24.37219122,1.470978675,2012,203.2365821,849.2962455
3/13/2012,44.7095361,-122.1926893,16.28654817,0.116560215,2012,203.3531423,865.5827937
3/14/2012,44.7095361,-122.1926893,34.84027775,1.204165702,2012,204.557308,900.4230714
3/15/2012,44.7095361,-122.1926893,60.29835934,3.293961842,2012,207.8512698,960.7214308
3/16/2012,44.7095361,-122.1926893,15.55292933,5.00317567,2012,212.8544455,976.2743601
3/17/2012,44.7095361,-122.1926893,12.5431232,2.505887057,2012,215.3603326,988.8174833
3/18/2012,44.7095361,-122.1926893,5.641604251,-0.372462249,2012,214.9878703,994.4590876
3/19/2012,44.7095361,-122.1926893,11.66248915,-0.462287083,2012,214.5255832,1006.121577
3/20/2012,44.7095361,-122.1926893,54.82214443,1.324067361,2012,215.8496506,1060.943721
3/21/2012,44.7095361,-122.1926893,47.09354698,0.747083505,2012,216.5967341,1108.037268
3/22/2012,44.7095361,-122.1926893,6.843447179,2.569093005,2012,219.1658271,1114.880715
3/23/2012,44.7095361,-122.1926893,0.003451203,4.174962581,2012,223.3407897,1114.884166
3/24/2012,44.7095361,-122.1926893,0.123879548,6.832963273,2012,230.173753,1115.008046
3/25/2012,44.7095361,-122.1926893,2.093316906,4.096468218,2012,234.2702212,1117.101363
3/26/2012,44.7095361,-122.1926893,0.835311584,4.790426191,2012,239.0606474,1117.936675
3/27/2012,44.7095361,-122.1926893,7.957083701,5.122144658,2012,244.182792,1125.893758
3/28/2012,44.7095361,-122.1926893,7.836902228,4.574998074,2012,248.7577901,1133.73066
3/29/2012,44.7095361,-122.1926893,53.27426401,5.689024827,2012,254.4468149,1187.004924
3/30/2012,44.7095361,-122.1926893,54.89972026,4.070903647,2012,258.5177186,1241.904645
3/31/2012,44.7095361,-122.1926893,20.06715232,5.352267681,2012,263.8699862,1261.971797
4/1/2012,44.7095361,-122.1926893,12.63355503,1.67549327,2012,265.5454795,1274.605352
4/2/2012,44.7095361,-122.1926893,0,6.180820616,2012,271.7263001,1274.605352
4/3/2012,44.7095361,-122.1926893,5.86999902,3.845711857,2012,275.572012,1280.475351
4/4/2012,44.7095361,-122.1926893,11.49431284,1.969878254,2012,277.5418902,1291.969664
4/5/2012,44.7095361,-122.1926893,5.012861727,2.477693705,2012,280.0195839,1296.982526
4/6/2012,44.7095361,-122.1926893,0.735550799,2.899661206,2012,282.9192452,1297.718076
4/7/2012,44.7095361,-122.1926893,0,6.057709108,2012,288.9769543,1297.718076
4/8/2012,44.7095361,-122.1926893,0,9.90337661,2012,298.8803309,1297.718076
4/9/2012,44.7095361,-122.1926893,0,9.926088307,2012,308.8064192,1297.718076
4/10/2012,44.7095361,-122.1926893,1.076919088,9.61938999,2012,318.4258092,1298.794996
4/11/2012,44.7095361,-122.1926893,8.060248068,5.860029589,2012,324.2858388,1306.855244
4/12/2012,44.7095361,-122.1926893,3.588035815,5.589940143,2012,329.8757789,1310.443279
4/13/2012,44.7095361,-122.1926893,2.735491139,6.316101938,2012,336.1918808,1313.178771
4/14/2012,44.7095361,-122.1926893,0,8.287728097,2012,344.4796089,1313.178771
4/15/2012,44.7095361,-122.1926893,3.491690295,9.647044499,2012,354.1266534,1316.670461
4/16/2012,44.7095361,-122.1926893,24.54555644,6.220651712,2012,360.3473051,1341.216017
4/17/2012,44.7095361,-122.1926893,13.62143632,5.530346825,2012,365.877652,1354.837454
4/18/2012,44.7095361,-122.1926893,9.461264311,6.711861349,2012,372.5895133,1364.298718
4/19/2012,44.7095361,-122.1926893,21.23832289,7.488634813,2012,380.0781481,1385.537041
4/20/2012,44.7095361,-122.1926893,0,11.57640459,2012,391.6545527,1385.537041
4/21/2012,44.7095361,-122.1926893,0,14.6148353,2012,406.269388,1385.537041
4/22/2012,44.7095361,-122.1926893,0,17.06708094,2012,423.336469,1385.537041
4/23/2012,44.7095361,-122.1926893,4.455669512,17.69505495,2012,441.0315239,1389.99271
4/24/2012,44.7095361,-122.1926893,0.839223099,10.90736683,2012,451.9388907,1390.831933
4/25/2012,44.7095361,-122.1926893,19.48664887,11.14781418,2012,463.0867049,1410.318582
4/26/2012,44.7095361,-122.1926893,25.93375793,4.951845736,2012,468.0385507,1436.25234
4/27/2012,44.7095361,-122.1926893,4.061353099,6.101075021,2012,474.1396257,1440.313693
4/28/2012,44.7095361,-122.1926893,0,9.67057835,2012,483.810204,1440.313693
4/29/2012,44.7095361,-122.1926893,4.14180935,12.01053479,2012,495.8207388,1444.455503
4/30/2012,44.7095361,-122.1926893,34.4453593,6.156069126,2012,501.9768079,1478.900862
5/1/2012,44.7095361,-122.1926893,10.00945644,4.94338909,2012,506.920197,1488.910318
5/2/2012,44.7095361,-122.1926893,5.864562348,6.533462484,2012,513.4536595,1494.774881
5/3/2012,44.7095361,-122.1926893,25.52004601,6.486530783,2012,519.9401903,1520.294927
5/4/2012,44.7095361,-122.1926893,10.9696748,4.194937912,2012,524.1351282,1531.264602
5/5/2012,44.7095361,-122.1926893,0.380522193,5.793666722,2012,529.9287949,1531.645124
5/6/2012,44.7095361,-122.1926893,0,10.32788417,2012,540.2566791,1531.645124
5/7/2012,44.7095361,-122.1926893,0,14.16087041,2012,554.4175495,1531.645124
5/8/2012,44.7095361,-122.1926893,0,14.00907651,2012,568.426626,1531.645124
5/9/2012,44.7095361,-122.1926893,0,6.278010468,2012,574.7046365,1531.645124
5/10/2012,44.7095361,-122.1926893,0,7.164419252,2012,581.8690558,1531.645124
5/11/2012,44.7095361,-122.1926893,0,11.22040047,2012,593.0894562,1531.645124
5/12/2012,44.7095361,-122.1926893,0,15.9106543,2012,609.0001105,1531.645124
5/13/2012,44.7095361,-122.1926893,0,19.30963892,2012,628.3097494,1531.645124
5/14/2012,44.7095361,-122.1926893,0,18.7285128,2012,647.0382622,1531.645124
5/15/2012,44.7095361,-122.1926893,0,16.32985803,2012,663.3681203,1531.645124
5/16/2012,44.7095361,-122.1926893,0,13.88983773,2012,677.257958,1531.645124
5/17/2012,44.7095361,-122.1926893,0,9.778916986,2012,687.036875,1531.645124
5/18/2012,44.7095361,-122.1926893,0,9.305733129,2012,696.3426081,1531.645124
5/19/2012,44.7095361,-122.1926893,0,10.3642739,2012,706.706882,1531.645124
5/20/2012,44.7095361,-122.1926893,0.389702297,14.70717545,2012,721.4140575,1532.034826
5/21/2012,44.7095361,-122.1926893,14.47307143,9.86961319,2012,731.2836706,1546.507898
5/22/2012,44.7095361,-122.1926893,14.36765139,7.205485882,2012,738.4891565,1560.875549
5/23/2012,44.7095361,-122.1926893,20.37450158,6.881178766,2012,745.3703353,1581.25005
5/24/2012,44.7095361,-122.1926893,20.12199872,6.003438183,2012,751.3737735,1601.372049
5/25/2012,44.7095361,-122.1926893,3.295410728,10.13978091,2012,761.5135544,1604.66746
5/26/2012,44.7095361,-122.1926893,0.00025165,11.76702894,2012,773.2805833,1604.667712
5/27/2012,44.7095361,-122.1926893,0,12.55716542,2012,785.8377488,1604.667712
5/28/2012,44.7095361,-122.1926893,0.198472258,10.18321797,2012,796.0209667,1604.866184
5/29/2012,44.7095361,-122.1926893,0,11.78040148,2012,807.8013682,1604.866184
5/30/2012,44.7095361,-122.1926893,0,14.27922305,2012,822.0805912,1604.866184
5/31/2012,44.7095361,-122.1926893,0,17.01387038,2012,839.0944616,1604.866184
6/1/2012,44.7095361,-122.1926893,5.595008474,17.50911957,2012,856.6035812,1610.461192
6/2/2012,44.7095361,-122.1926893,5.054641062,11.78588357,2012,868.3894648,1615.515833
6/3/2012,44.7095361,-122.1926893,7.913706086,10.73678602,2012,879.1262508,1623.429539
6/4/2012,44.7095361,-122.1926893,35.5710361,8.838127922,2012,887.9643787,1659.000576
6/5/2012,44.7095361,-122.1926893,13.11423713,6.819862765,2012,894.7842415,1672.114813
6/6/2012,44.7095361,-122.1926893,0.661771902,10.09093502,2012,904.8751765,1672.776585
6/7/2012,44.7095361,-122.1926893,16.73151912,8.641090073,2012,913.5162666,1689.508104
6/8/2012,44.7095361,-122.1926893,19.70571325,6.301949823,2012,919.8182164,1709.213817
6/9/2012,44.7095361,-122.1926893,0.788844371,6.596982031,2012,926.4151984,1710.002661
6/10/2012,44.7095361,-122.1926893,0,11.73707759,2012,938.152276,1710.002661
6/11/2012,44.7095361,-122.1926893,0,14.46004663,2012,952.6123226,1710.002661
6/12/2012,44.7095361,-122.1926893,4.488271312,12.7920579,2012,965.4043805,1714.490933
6/13/2012,44.7095361,-122.1926893,0.480641,11.64275811,2012,977.0471386,1714.971574
6/14/2012,44.7095361,-122.1926893,0,13.2613878,2012,990.3085264,1714.971574
6/15/2012,44.7095361,-122.1926893,0,15.57682937,2012,1005.885356,1714.971574
6/16/2012,44.7095361,-122.1926893,0,19.05115454,2012,1024.93651,1714.971574
6/17/2012,44.7095361,-122.1926893,1.552756772,15.30897198,2012,1040.245482,1716.52433
6/18/2012,44.7095361,-122.1926893,17.49961044,9.158605779,2012,1049.404088,1734.023941
6/19/2012,44.7095361,-122.1926893,0.318792531,9.492374372,2012,1058.896462,1734.342733
6/20/2012,44.7095361,-122.1926893,0,15.26243177,2012,1074.158894,1734.342733
6/21/2012,44.7095361,-122.1926893,0,17.78836422,2012,1091.947258,1734.342733
6/22/2012,44.7095361,-122.1926893,12.47008133,11.6027484,2012,1103.550007,1746.812815
