date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum,year
2022-01-01,44.712500000000006,-122.20416663333334,0.275,-4.349999999999966,1.9,0.8250000000000001,-4.349999999999966,0.275,1.9,0.8250000000000001,2022
2022-01-02,44.712500000000006,-122.20416663333334,15.225000000000001,-0.3624999999999545,27.975,6.3500000000000005,-4.71249999999992,15.500000000000002,29.875,7.175000000000001,2022
2022-01-03,44.712500000000006,-122.20416663333334,55.1,0.7250000000000227,24.5,4.9,-3.9874999999998977,70.60000000000001,54.375,12.075000000000001,2022
2022-01-04,44.712500000000006,-122.20416663333334,60.7625,1.5062500000000227,25.5,4.3125,-2.481249999999875,131.3625,79.875,16.387500000000003,2022
2022-01-05,44.712500000000006,-122.20416663333334,0.0,3.15625,25.75,2.6500000000000004,0.6750000000001251,131.3625,105.625,19.0375,2022
2022-01-06,44.712500000000006,-122.20416663333334,0.0,6.46875,25.75,6.6375,7.143750000000125,131.3625,131.375,25.675,2022
2022-01-07,44.712500000000006,-122.20416663333334,27.9625,4.225000000000023,26.25,8.850000000000001,11.368750000000148,159.325,157.625,34.525000000000006,2022
2022-01-08,44.712500000000006,-122.20416663333334,0.5,2.1312500000000227,59.3375,3.2,13.50000000000017,159.825,216.9625,37.725,2022
2022-01-09,44.712500000000006,-122.20416663333334,0.0,2.7062500000000114,103.0,5.2875000000000005,16.206250000000182,159.825,319.9625,43.0125,2022
2022-01-10,44.712500000000006,-122.20416663333334,0.0,3.0125000000000455,27.0,4.2,19.218750000000227,159.825,346.9625,47.212500000000006,2022
2022-01-11,44.712500000000006,-122.20416663333334,0.1625,5.881250000000023,28.0,4.65,25.10000000000025,159.9875,374.9625,51.862500000000004,2022
2022-01-12,44.712500000000006,-122.20416663333334,0.0,6.331250000000011,70.6,3.2,31.43125000000026,159.9875,445.5625,55.0625,2022
2022-01-13,44.712500000000006,-122.20416663333334,15.45,3.9624999999999773,28.5,2.6,35.39375000000024,175.4375,474.0625,57.6625,2022
2022-01-14,44.712500000000006,-122.20416663333334,0.0,3.09375,50.1625,2.1750000000000003,38.48750000000024,175.4375,524.225,59.837500000000006,2022
2022-01-15,44.712500000000006,-122.20416663333334,0.0,1.7000000000000455,110.25,1.4,40.187500000000284,175.4375,634.475,61.237500000000004,2022
2022-01-16,44.712500000000006,-122.20416663333334,0.0,2.4375,104.75,0.925,42.625000000000284,175.4375,739.225,62.1625,2022
2022-01-17,44.712500000000006,-122.20416663333334,0.0,4.987500000000011,101.9375,2.7375000000000003,47.612500000000296,175.4375,841.1625,64.9,2022
