t,Blowout,Heater,Log Boom
5/9/2017 12:29,,,37160.09211
5/9/2017 12:50,,8043.55572,
5/31/2017 11:30,,,1060.87238
6/27/2017 10:55,,,4354.045491
7/11/2017 11:55,,784383.8098,
7/18/2017 12:35,,,5828.490199
7/25/2017 11:55,,1171929.65,
8/1/2017 8:45,52869.00679,,
8/1/2017 9:20,,3648750.403,
8/1/2017 9:55,,,60326.68621
8/3/2017 10:10,,,363474.4217
8/3/2017 11:05,114683.7153,,
8/8/2017 11:43,,2625827.337,
8/8/2017 12:15,3310.278709,,
8/10/2017 10:20,15447.96731,,
8/10/2017 10:45,,5611643.351,
8/15/2017 11:20,,133444.9537,
8/24/2017 11:10,,,1755251.025
8/24/2017 11:32,,115716.9019,
8/24/2017 11:53,50809.17535,,
8/29/2017 10:51,,,1368451.684
8/29/2017 11:15,,113899.5802,
